date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:04:06	474325/474325	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Feb%202020%2018:02:50%20GMT	http://cdn.shopify.com/s/files/1/0067/5564/7601/products/scent_lok_full_season_skull_cap_1_470x509_crop_top.png?v=1540215588	C:/My%20Web%20Sites/kinhhh/cdn.shopify.com/s/files/1/0067/5564/7601/products/scent_lok_full_season_skull_cap_1_470x509_crop_top4bf8.png	(from https://theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_skull_cap)
19:04:07	0/0	---MCZ	404	error ('Not%20Found')	image/png	etag:cacheable:341402415d40d37363c6b0fd269283f3	https://theme489-hunting.myshopify.com/collections/accessories/products/products/scent_lok_full_season_skull_cap_1.png	C:/My%20Web%20Sites/kinhhh/theme489-hunting.myshopify.com/collections/accessories/products/products/scent_lok_full_season_skull_cap_1.4a8.delayed	(from https://theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_skull_cap)
19:04:07	1068/1068	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2006%20Feb%202020%2018:04:07%20GMT	http://pinterest.com/pin/create/button/?url=https://theme489-hunting.myshopify.com/products/scent_lok_full_season_skull_cap&media=//cdn.shopify.com/s/files/1/0067/5564/7601/products/scent_lok_full_season_skull_cap_1_1024x1024.png?v=1540215588&description=Scent%20Lok%20Full%20Season%20Skull%20Cap	C:/My%20Web%20Sites/kinhhh/pinterest.com/pin/create/button/indexea29.html	(from https://theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_skull_cap)
19:04:07	0/-1	---M--	302	error ('')			https://theme489-hunting.myshopify.com/account/orders	C:/My%20Web%20Sites/kinhhh/theme489-hunting.myshopify.com/account/orders.4a9.delayed	(from https://theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_skull_cap)
19:04:09	446742/446742	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Feb%202020%2018:02:57%20GMT	http://cdn.shopify.com/s/files/1/0067/5564/7601/products/scent_lok_full_season_skull_cap_4_470x509_crop_top.png?v=1540215589	C:/My%20Web%20Sites/kinhhh/cdn.shopify.com/s/files/1/0067/5564/7601/products/scent_lok_full_season_skull_cap_4_470x509_crop_topa675.png	(from https://theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_skull_cap)
19:04:09	2142/2142	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:b2a60cbb43de9fbac969ae49c7d301fc	https://theme489-hunting.myshopify.com/products/scent_lok_full_season_skull_cap.oembed	C:/My%20Web%20Sites/kinhhh/theme489-hunting.myshopify.com/products/scent_lok_full_season_skull_cap.oembed	(from https://theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_skull_cap)
19:04:10	0/0	---MCZ	404	error ('Not%20Found')	image/png	etag:cacheable:ef9943138000ecc7cdadfd797a53a81b	https://theme489-hunting.myshopify.com/products/products/scent_lok_full_season_skull_cap_1.png	C:/My%20Web%20Sites/kinhhh/theme489-hunting.myshopify.com/products/products/scent_lok_full_season_skull_cap_1.4ab.delayed	(from https://theme489-hunting.myshopify.com/products/scent_lok_full_season_skull_cap)
19:04:10	0/-1	---M--	302	error ('')			https://theme489-hunting.myshopify.com/account/orders	C:/My%20Web%20Sites/kinhhh/theme489-hunting.myshopify.com/account/orders.4ac.delayed	(from https://theme489-hunting.myshopify.com/products/scent_lok_full_season_skull_cap)
19:04:10	476478/476478	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Feb%202020%2018:02:56%20GMT	http://cdn.shopify.com/s/files/1/0067/5564/7601/products/scent_lok_full_season_skull_cap_3_470x509_crop_top.png?v=1540215588	C:/My%20Web%20Sites/kinhhh/cdn.shopify.com/s/files/1/0067/5564/7601/products/scent_lok_full_season_skull_cap_3_470x509_crop_top4bf8.png	(from https://theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_skull_cap)
19:04:11	154/154	---MCZ	301	error ('Moved%20Permanently')	text/html	etag:cacheable:8fb2408ef55115a0e5501348fac916fd	https://theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_ultimate_headcover	C:/My%20Web%20Sites/kinhhh/theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_ultimate_headcover	(from https://theme489-hunting.myshopify.com/collections/accessories/products/avian_x_central_flyway_decoys_6_pack)
19:04:11	154/154	---MCZ	301	error ('Moved%20Permanently')	text/html	etag:cacheable:8fb2408ef55115a0e5501348fac916fd	https://theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_ultimate_headcover	C:/My%20Web%20Sites/kinhhh/theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_ultimate_headcover	(from https://theme489-hunting.myshopify.com/collections/accessories/products/avian_x_central_flyway_decoys_6_pack)
19:04:12	162/162	---MCZ	301	error ('Moved%20Permanently')	text/html	etag:cacheable:4d1bd5b610605b2fbccb9e73fbd18c6d	https://theme489-hunting.myshopify.com/collections/accessories/products/under_armour_mens_stealth_fleece_full_zip_hoodie	C:/My%20Web%20Sites/kinhhh/theme489-hunting.myshopify.com/collections/accessories/products/under_armour_mens_stealth_fleece_full_zip_hoodie	(from https://theme489-hunting.myshopify.com/collections/accessories/products/avian_x_central_flyway_decoys_6_pack)
19:04:12	162/162	---MCZ	301	error ('Moved%20Permanently')	text/html	etag:cacheable:4d1bd5b610605b2fbccb9e73fbd18c6d	https://theme489-hunting.myshopify.com/collections/accessories/products/under_armour_mens_stealth_fleece_full_zip_hoodie	C:/My%20Web%20Sites/kinhhh/theme489-hunting.myshopify.com/collections/accessories/products/under_armour_mens_stealth_fleece_full_zip_hoodie	(from https://theme489-hunting.myshopify.com/collections/accessories/products/avian_x_central_flyway_decoys_6_pack)
